"Qty";"Value";"Device";"Package";"Parts";"Description";"AVAILABILITY";"BUILT_BY";"COPYRIGHT";"DESCRIPTION";"DESIGNER";"DIGI-KEY_PART_NUMBER";"DIGIKEY_PART";"MANUFACTURER_PART_NUMBER";"MF";"MP";"PACKAGE";"PRICE";"PURCHASE-URL";"REVISION";"SOURCELIBRARY";"VENDOR";"VERSION";
"1";"";"ADAFRUIT_WIRELESS_ANTENNA_JOHANSON_2450AT18B100";"ADAFRUIT_WIRELESS_ANT_2450AT18B100";"X2";"Johanson 2.4GHz Chip Antenna (1206 Package)";"";"";"";"";"";"";"712-1006-1-ND";"";"";"";"";"";"";"";"";"";"";
"5";"";"M01TINY";"1X01_TINY";"J7, J8, J9, J10, J11";"Header 1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"MICROBUILDER_APA1022020";"MICROBUILDER_APA102_2020";"U$2";"APA102/DotStar Pixels";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"MICROBUILDER_CAP_CERAMIC_0402MP";"MICROBUILDER__0402MP";"C9";"Ceramic Capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"MICROBUILDER_VREG_SOT23-5";"MICROBUILDER_SOT23-5";"U4";"SOT23-5 Fixed Voltage Regulators";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"7";"0.1uF";"MICROBUILDER_CAP_CERAMIC_0402MP";"MICROBUILDER__0402MP";"C4, C5, C7, C10, C11, C12, C13";"Ceramic Capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"0.7pF";"MICROBUILDER_CAP_CERAMIC_0402MP";"MICROBUILDER__0402MP";"C8";"Ceramic Capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"1.0uF";"MICROBUILDER_CAP_CERAMIC_0402MP";"MICROBUILDER__0402MP";"C3";"Ceramic Capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"10uH";"NORDIC_MISC_INDUCTOR_0603_N";"NORDIC_MISC_RESC0603_N";"L3, L4";"Generic chip inductor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"15nH";"NORDIC_MISC_INDUCTOR_0402_N";"NORDIC_MISC_RESC0402_N";"L1, L2";"Generic chip inductor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"1uF";"MICROBUILDER_CAP_CERAMIC_0402MP";"MICROBUILDER__0402MP";"C1, C2, C6";"Ceramic Capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"2.2nH";"NORDIC_MISC_INDUCTOR_0402_N";"NORDIC_MISC_RESC0402_N";"L5";"Generic chip inductor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"4";"4.7K";"MICROBUILDER_RESISTOR_0402MP";"MICROBUILDER__0402MP";"R1, R2, R3, R4";"Resistors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"BATT-COIN1CR1216";"BATT-COIN1CR1216";"BC-2017-TR";"J1";"Digikey Part Number: BLP2032SM-GCT-ND";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"FRAME-LETTERNO_PACKAGE";"FRAME-LETTERNO_PACKAGE";"DUMMY";"FRAME1, FRAME2, FRAME3";"Schematic Frame";"";"";"";"";"Nobody";"";"";"";"";"";"";"";"";"";"";"";"v01";
"1";"KMR421GULCLFS";"KMR421GULCLFS";"SW_KMR421GULCLFS";"S1";"Switch Tactile N.O. SPST Round Button Gull Wing 0.05A 32VDC 1VA 200000Cycles 2N SMD Automotive T/R";"";"";"";" Tactile Switch SPST-NO Top Actuated Surface Mount ";"";"CKN12152CT-ND";"";"";"C&K";"KMR421GULCLFS";"None";"";"https://pricing.snapeda.com/search/part/KMR421GULCLFS/?ref=eda";"";"";"";"";
"1";"MAX30101EFD+";"MAX30101EFD+";"21-0880B_MXM";"U2";"";"";"EMA_UL_Team";"";"";"";"";"";"MAX30101EFD+";"";"";"";"";"";"";"Update_to_database_2021-01-13";"Maxim Integrated Products";"";
"1";"MAX30205MTA+";"MAX30205MTA+";"21-0137_T833+2_MXM";"U3";"";"";"EMA_UL_Team";"Copyright (C) 2018 Accelerated Designs. All rights reserved";"";"";"";"";"MAX30205MTA+";"";"";"";"";"";"4";"Update_to_database_2020-12-07";"Maxim Integrated Products";"";
"1";"MAX32664GTGA+";"MAX32664GTGA+";"21-100264_90-100089_MXM";"U5";"";"";"EMA_Rebekah";"Copyright (C) 2018 Accelerated Designs. All rights reserved";"";"";"";"";"MAX32664GTGA+";"";"";"";"";"";"2";"Maxim_2020-02-10";"Maxim Integrated Products";"";
"1";"NRF5340-QKAA-AB0-R";"NRF5340-QKAA-AB0-R";"XCVR_NRF5340-QKAA-AB0-R";"U1";"IC RF";"Unavailable";"";"";" IC RF TxRx + MCU 802.15.4, Bluetooth Bluetooth v5.1, Thread, ZigbeeÂ® 2.4GHz ";"";"";"";"";"Nordic Semiconductor";"nRF5340-QKAA-AB0-R";"None";"None";"";"";"";"";"";
"1";"XRCGB32M000F2P10R0";"XRCGB32M000F2P10R0";"XTAL_SON4_1P6X2P0_MUR";"X1";"";"";"EMA_UL_Team";"";"";"";"";"490-14308-1-ND";"XRCGB32M000F2P10R0";"";"";"";"";"";"";"Murata_2017-08-09";"Murata";"";
